PartitionKey,RowKey,Outcome,MarriageDate,ChildrenData,DivorceData,DivorceDate,MalePersonId,FemalePersonId,Embeddings,KutaScore,MarriageDuration
Arranged-a00b00b28c,,Happiness,07/15/1915,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,GeorgesMarchal1920,BlancheDumoulin1895,"[3.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0]",50,0
Arranged-d8682b51e8,,Happiness,02/25/1918,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":""average"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,FernandLedoux1897,Jean1889,"[0.0,6.0,8.0,7.0,0.0,2.0,0.0,4.0]",75,0
Arranged-d8b8eda35c,,Struggle,01/17/1915,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""5"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,BenitoMussolini1883,RacheleMussolini1890,"[3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0]",45,0
Arranged-f1cf2ed139,,Dissolution,05/16/1913,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",07/15/1923,JeanCocteau1889,IsabelleRivière1889,"[3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0]",40,10.16290212183436
Arranged-fe25344b82,,Happiness,11/11/1949,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""7"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,GiovanniAgnelli1866,MarellaAgnelli1927,"[0.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0]",40,0
Love-0033bc3544,,Dissolution,12/19/1931,"{""children"":{""adoptedCount"":""1"",""biologicalCount"":""6"",""diedChildrenCount"":""6"",""childrenHealth"":""Helida had clubfoot, Hilde had curvature of the spine"",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,JosephGoebbels1897,MagdaGoebbels1901,"[0.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0]",40,0
Love-00efbbdc2b,,Happiness,02/16/1933,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,PierreFresnay1897,YvonneBrassart1904,"[3.0,0.0,8.0,7.0,5.0,2.0,0.0,0.0]",70,0
Love-013ffe7eac,,Dissolution,12/28/1957,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",04/27/1962,RobertWagner1930,NatalieWood1938,"[0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0]",5,4.328542094455853
Love-019f11038e,,Happiness,12/11/1968,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",01/01/0001,MarcSimenon1939,MylèneDemongeot1935,"[3.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0]",35,0
Love-01bb06aa00,,Dissolution,07/01/1972,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""no information"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",07/01/1984,OlivierRolin1947,ElisabethRoudinesco1944,"[3.0,0.0,8.0,7.0,5.0,0.0,1.0,4.0]",80,12
Love-02086f1694,,Happiness,06/08/2004,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,AristideMaillol1861,EstelleLefébure1966,"[3.0,0.0,8.0,0.0,0.0,2.0,1.0,4.0]",50,0
Love-0295a868d3,,Dissolution,01/01/1935,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/1941,HenriDecoin1890,DanielleDarrieux1917,"[0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0]",40,6.0013689253935665
Love-032f8b60ab,,Happiness,07/24/1945,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,AlbertoLattuada1914,LuciaMannucci1920,"[3.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0]",35,0
Love-03792edb1d,,Happiness,01/01/2002,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",01/01/0001,BenjaminBiolay1973,ChiaraMastroianni1972,"[0.0,6.0,8.0,7.0,5.0,0.0,0.0,0.0]",70,0
Love-0390979c28,,Dissolution,10/14/1967,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",07/01/1969,JackJones1938,JillSt.John1940,"[0.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0]",40,1.7148072096737395
Love-041ee8cc75,,Happiness,10/10/1927,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,MauriceChevalier1888,RenéeJolivet1885,"[0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0]",45,0
Love-04224c1d67,,Happiness,08/10/2016,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",01/01/0001,CamilleLacourt1985,FabienGilot1984,"[0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0]",35,0
Love-04f8e4203b,,Happiness,06/23/1995,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",01/01/0001,AntonioRicci1950,MillyCarlucci1954,"[0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0]",35,0
Love-0508a1291b,,Happiness,07/01/1955,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""no info"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,RobertEnrico1931,JulietteMayniel1936,"[0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0]",15,0
Love-056d0eedf1,,Happiness,06/30/1950,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,Louis1894,Jean19271,"[3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0]",35,0
Love-057a5fcefb,,Happiness,09/15/1951,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",01/01/0001,JeanVallée1939,GisèleVallerey1930,"[0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0]",40,0
Love-059f805f8e,,Happiness,06/30/1931,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,LouisBarthou1862,Jean1908,"[0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0]",45,0
Love-06345b383e,,Happiness,01/29/1958,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,PaulNewman1925,JoanneWoodward1930,"[0.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0]",40,0
Love-064b2a1a42,,Dissolution,07/01/1981,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",07/01/1983,GarySweet1957,KymCassiman1956,"[3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0]",25,1.998631074606434
Love-06cc48c15c,,Happiness,07/12/1975,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",01/01/0001,ThierryRoussel1953,Jean19541,"[3.0,6.0,8.0,7.0,0.0,0.0,1.0,0.0]",70,0
Love-07c45d297d,,Dissolution,12/31/2008,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""irreconcilable differences"",""dataCredibility"":""high""}}",12/02/2011,MichaelC.Hall1971,JenniferCarpenter1979,"[0.0,6.0,8.0,7.0,5.0,0.0,0.0,0.0]",70,2.91854893908282
Love-0825c76a06,,Happiness,07/26/1990,"{""children"":{""adoptedCount"":""1"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,RobertWagner1930,JillSt.John1940,"[0.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0]",35,0
Love-0850a42f10,,Dissolution,07/07/2007,"{""children"":{""adoptedCount"":""2"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/28/2011,TonyParker1982,MaryseBurgot1964,"[3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0]",35,3.561943874058864
Love-0a1d397230,,Happiness,02/12/1928,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""4"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,EduardoDeFilippo1900,TitinadeFilippo1898,"[0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0]",35,0
Love-0b9685f405,,Dissolution,05/09/2005,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""fraud"",""dataCredibility"":""high""}}",12/15/2005,KennyChesney1968,RenéeZellweger1969,"[3.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0]",65,0.6023271731690623
Love-0c12d32a07,,Dissolution,07/01/1931,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",07/01/1940,JeanAnouilh1910,LiseDelamare1913,"[3.0,6.0,8.0,7.0,0.0,0.0,1.0,0.0]",70,9.00205338809035
Love-0cc5c2c1bd,,Happiness,06/15/2015,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",01/01/0001,Pierre1801,Jean1990,"[3.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0]",45,0
Love-0d27485d05,,Happiness,09/07/1975,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,MauriceGibb1949,GloriaStar1948,"[3.0,0.0,8.0,0.0,5.0,2.0,0.0,0.0]",50,0
Love-0d35a394e5,,Dissolution,06/27/1964,"{""children"":{""adoptedCount"":""1"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""irreconcilable differences"",""dataCredibility"":""high""}}",06/27/1975,SonnyBono1935,CherrieFloyd1952,"[3.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0]",50,10.99794661190965
Love-0dfc1155d6,,Happiness,06/12/1955,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,YvesRobert1920,CorinneMarchand1931,"[3.0,6.0,8.0,7.0,0.0,0.0,1.0,4.0]",80,0
Love-0e6004bb5d,,Dissolution,07/01/2005,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""4"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",07/01/2013,AlessandroBenetton1964,MaudFontenoy1977,"[0.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0]",40,8
Love-0f165f679f,,Happiness,12/30/2005,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,GiorgioVanzetta1959,BiceVanzetta2000,"[0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0]",25,0
Love-0f43f36acb,,Happiness,01/01/0001,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":null,""dataCredibility"":""low""}}",01/01/0001,OlivierNakache1973,EricToledano1971,"[0.0,0.0,8.0,7.0,5.0,2.0,0.0,0.0]",60,0
Love-0f8e69ca2c,,Tragedy,01/01/0001,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,JimMorrison1943,PamelaCourson1946,"[3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0]",35,0
Love-0f9eaebbac,,Happiness,04/18/2016,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,SamuelBenchetrit1973,AutomnePavia1989,"[0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0]",40,0
Love-0fd0ad7b7f,,Happiness,06/12/1937,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,ChristianDior1905,JeanBuhan1912,"[3.0,0.0,8.0,7.0,5.0,2.0,1.0,0.0]",70,0
Love-0febeb9bfc,,Dissolution,01/01/1991,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",01/01/1997,JohnHannah1962,PaulineEster1963,"[3.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0]",55,6.0013689253935665
Love-104ab6d61f,,Dissolution,12/21/1991,"{""children"":{""adoptedCount"":""1"",""biologicalCount"":""5"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",05/22/2001,TedTurner1938,JaneFonda1937,"[3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0]",45,9.418206707734429
Love-113b15a7c5,,Happiness,06/17/1960,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,PierreÉtaix1928,AnnieFratellini1932,"[3.0,0.0,8.0,7.0,0.0,0.0,1.0,4.0]",65,0
Love-11d59aa026,,Dissolution,08/20/1949,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",02/27/1954,DanielGélin1921,Marie1926,"[0.0,0.0,8.0,0.0,0.0,2.0,1.0,0.0]",30,4.522929500342231
Love-120082d4a5,,Dissolution,07/01/1984,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",07/01/1995,HugoPratt1927,CaroleGaessler1968,"[0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0]",20,10.99794661190965
Love-1228d218ab,,Dissolution,07/01/1955,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",07/01/1961,ChristianMarquand1927,JacquesSiclier1927,"[3.0,0.0,8.0,7.0,5.0,0.0,1.0,0.0]",65,6.0013689253935665
Love-1269493724,,Dissolution,04/01/1961,"{""children"":{""adoptedCount"":""1"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",03/29/1992,JimBakker1940,TammyFayeBakkerMessner1942,"[0.0,0.0,8.0,7.0,5.0,2.0,0.0,0.0]",60,30.99247091033539
Love-1285ced5fd,,Happiness,12/03/2016,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",01/01/0001,KarimBenzema1987,AssiaElHannouni1981,"[3.0,0.0,8.0,7.0,5.0,0.0,1.0,0.0]",65,0
Love-136fa39db5,,Dissolution,12/17/1993,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",01/15/2001,BorisBecker1967,IsabelleKoch1957,"[0.0,6.0,8.0,7.0,0.0,0.0,1.0,0.0]",60,7.080082135523614
Love-13c7c35431,,Dissolution,07/01/1944,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""4"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",07/01/1954,VittorioGassman1922,LillaBrignone1913,"[3.0,6.0,0.0,7.0,5.0,0.0,1.0,0.0]",60,9.998631074606434
Love-13d9a74ef9,,Happiness,12/22/1949,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":""healthy"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""""}}",01/01/0001,LucienLeduc1918,JeanKerchbron1924,"[3.0,0.0,0.0,7.0,5.0,0.0,1.0,4.0]",55,0
Love-1432ce3eef,,Happiness,06/06/1959,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",01/01/0001,AlbertCamus1913,ZeizaHalimi1927,"[3.0,0.0,8.0,7.0,5.0,0.0,1.0,0.0]",65,0
Love-1449d685c0,,Dissolution,10/15/1958,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",07/01/1966,LouisMalle1932,JeanneColletin1938,"[3.0,0.0,8.0,7.0,5.0,0.0,1.0,0.0]",65,7.710700433493042
Love-15415e4adb,,Dissolution,07/25/2009,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",11/11/2013,JeanDujardin1972,AlexandraLamy1971,"[3.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0]",45,4.298425735797399
Love-15e48545fe,,Happiness,10/03/1992,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":null,""dataCredibility"":""high""}}",01/01/0001,BarackObama1961,MichelleMurphy1958,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0]",10,0
Love-1698bacdf6,,Happiness,07/11/1966,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""4"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,GianniMorandi1944,AlidaChelli1943,"[3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0]",45,0
Love-16e3dbc12f,,Happiness,07/22/1869,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,GustaveCaillebotte1848,CamilleLemmonier1844,"[0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0]",45,0
